"linha","descrição","usuario","comissão","margem","empresa","descricao","estoque","obs"
5,"PEGERAL","",0,0,1,"FERR BLINDEX",0,"*"
8,"ALUMICONTE","",0,0,1,"ALUMICONTE",0,"***ITEM COM PREÇO JA NO MENOR VALOR!!!! PROMOCIONAL!!!!"
9,"AL INDÚSTRIA","",0,0,1,"FERR AL PUXADORES",0,"*"
10,"FERMAX","",0,0,1,"FERMAX",0,"*"
11,"GOLD NEWS","",0,0,1,"GOLD",0,"*"
12,"BCF PLÁSTICOS","",0,0,1,"PORTA SANFONADA",0,"*"
13,"KIT BOX TAVARES","",0,0,1,"KIT BOX",0,"*"
14,"KIT INSTAL TAVARES","",0,0,1,"KIT INSTALAÇÃO",0,"*"
15,"UDINESE","",0,0,1,"UDINESE",0,"*"
124,"ALUTEK","",0,0,1,"*",1,"*"
18,"ESPECIAIS","",0,0,1,"AAZ",0,"*"
104,"JR GLASS","",0,0,1,"*",0,"*"
20,"INCLUSÕES","",0,,1,"INCLUSÕES",0,"*"
79,"VCE","",0,0,1,"*",0,"*"
119,"PROMEL","",0,0,1,"*",0,"*"
76,"BRASFORTAL/JL REPRES","",0,0,1,"*",0,"*"
27,"VISION","",0,0,1,"VISION",1,"*"
26,"T&M ACESSÓRIOS","",0,0,1,"T & M",1,"*"
28,"BORRACHAS DAUD/RAC","",0,0,1,"DAUD",0,"*"
29,"SOPRANO","",0,0,1,"SOPRANO",0,"*"
30,"PACRE","",0,0,1,"ROLDAMAX",0,"*"
31,"MERCADÃO","",0,0,1,"MONOFIL",1,"*"
34,"PADO","",0,0,1,"TECNO LOCK",1,"*"
37,"CESTA BASICA","",0,0,1,"CESTA BASICA",0,"*"
38,"VANGLASS","",0,0,1,"VANGLASS",1,"*"
39,"ACAV DECOR","",0,0,1,"ACAV DECOR",0,"*"
40,"PICHU ","",0,0,1,"PICHU",0,"*"
41,"BERGEN","",0,0,1,"BERGEN",1,"*"
45,"MR ANDRADE","",0,0,1,"MR ANDRADE",0,"*"
43,"TEC-VIDROS","",0,0,1,"TEC-VIDROS",0,"*desconto limitado a 5%* ja esta com $ promocional*"
44,"GUARU ","",0,0,1,"GUARU",0,"*"
46,"JS ACESSÓRIOS","",0,0,1,"*",1,"*"
47,"GLASSPEÇAS","",0,0,1,"*",0,"*"
48,"PANDA/PROLONG","",0,0,1,"*",0,"*"
49,"3F FERRAGENS/PILLER","",0,0,1,"*",0,""
50,"ISERO/UNIÃO MUNDIAL","",0,0,1,"*",0,"*"
51,"ALUMÍRIOS","",0,0,1,"*",0,"*"
52,"SOUDAL","",0,0,1,"*",0,"*"
68,"IMPACTO ALUMÍNIO","",0,0,1,"*",0,"**desconto limitado a 5%* ja esta com $ promocional*"
53,"FIBRASIL","",0,0,1,"*",0,"*"
54,"HG PLÁSTICOS ","",0,0,1,"*",0,"*"
55,"STAM","",0,0,1,"*",0,"*"
56,"AMELCO","",0,0,1,"*",1,"*"
57,"CAMARGO/SERR MIRANDA","",0,0,1,"*",0,"*"
58,"GAVIOTA","",0,0,1,"*",0,"*"
59,"FERGUS","",0,0,1,"*",0,"*"
60,"EMTECO","",0,0,1,"*",0,"*"
61,"ANUDAL","",0,0,1,"*",1,"*"
62,"METAL VIDROS","",0,0,1,"*",0,"*"
63,"IDEIA GLASS","",0,0,1,"*",0,"*desconto limitado a 5%* ja esta com $ promocional*"
64,"KOI ESPUMAS","",0,0,1,"*",0,"*"
65,"ALUTEC","",0,0,1,"*",1,"*"
66,"ICILEGEL","",0,0,1,"*",0,"*"
67,"FISE","",0,0,1,"*",0,"*"
69,"VOXTER","",0,0,1,"*",0,"*"
70,"METAIS CARE","",0,0,1,"*",0,"*"
71,"ZAPPAROLI","",0,0,1,"*",0,"*"
72,"SIKA","",0,0,1,"*",0,"*"
73,"NEW-FIX","",0,0,1,"*",0,"*"
74,"METTALLFLECK","",0,0,1,"*",0,"*"
75,"ISOPAR","",0,0,1,"*",0,"*"
129,"IMOBILIZADO-EST","",0,0,1,"*",0,"*"
78,"V MARQUES","",0,0,1,"*",0,"*"
80,"CATUMBI","",0,0,1,"*",1,"*"
82,"ARBAX","",0,0,1,"*",1,"*"
81,"ANDREOZI","",0,0,1,"*",1,"*"
83,"BRASIL VEDAÇÃO","",0,0,1,"*",0,"*"
84,"GLASSTECK","",0,0,1,"*",0,"*"
86,"MADEX","",0,0,1,"*",1,"*"
87,"MARIX","",0,0,1,"*",1,"*"
88,"NTA ","",0,0,1,"*",0,"*"
89,"SUPERGRAF","",0,0,1,"*",1,"*"
90,"FGVTN","",0,0,1,"*",1,"*"
91,"FECHART/V POLIDO","",0,0,1,"*",0,"*"
92,"COFEMA/FISCHER","",0,0,1,"*",0,"*"
93,"DATTI","",0,0,1,"*",1,"*"
95,"WACE","",0,0,1,"*",0,"*"
96,"ARTEPLÁS","",0,0,1,"*",1,"*"
97,"BROCK","",0,0,1,"*",1,"*"
98,"DORMA","",0,0,1,"*",0,"*"
99,"GLASSINOX","",0,0,1,"*",0,"*"
100,"PAGÉ","",0,0,1,"*",1,"*"
101,"MISURA/POTÊNCIA","",0,0,1,"*",0,"*"
102,"VITA COMPONENTES","",0,0,1,"*",0,"*"
103,"SA VIDROS","",0,0,1,"*",1,"*intervalo de 5cm* $ corrigido* abaixou $$*"
105,"AMT SÃO SEBASTIÃO","",0,0,1,"*",1,"*"
106,"IRWIN","",0,0,1,"*",1,"*"
107,"PINC PLÁSTICOS","",0,0,1,"*",0,"*"
108,"STICKTAPE","",0,0,1,"*",1,"*"
109,"MERCADOFER","",0,0,1,"*",1,"*"
110,"RSABATINI","",0,0,1,"*",0,"*"
111,"WIPER","",0,0,1,"*",1,"*"
112,"SUPER5","",0,0,1,"*",1,"*"
125,"ALUSHOW","",0,0,1,"*",0,"*"
113,"JG/WAINNER","",0,0,1,"*",0,"*"
114,"STANLEY","",0,0,1,"*",1,"*"
115,"GLASS VETRO","",0,0,1,"*",0,"*"
116,"ARGOS","",0,0,1,"*",1,"*"
117,"VBT","",0,0,1,"*",0,"*"
118,"MULTI ANDAIMES","",0,0,1,"*",0,"*"
120,"RIMALE","",0,0,1,"*",0,"*"
121,"GR FER","",0,0,1,"*",0,"*"
122,"VIDRO LIMPO","",0,0,1,"*",0,"*"
123,"JL REPRESENTAÇÕES","",0,0,1,"*",0,"*"
130,"NORBOND","",0,0,1,"*",0,"*"
128,"ESTOQUE IMOBILIZADO","",0,0,1,"*",1,"*"
127,"ROAPLÁS","",0,0,1,"*",0,"*"
126,"ADERE","",0,0,1,"*",0,"*"
131,"MAESTRA","",0,0,1,"*",0,"*"
132,"WALSYWA","",0,0,1,"*",0,"*"
133,"ROSSI MOTORES","",0,0,1,"*",0,"*"
134,"PIACENTINI","",0,0,1,"*",0,"*"
135,"WR GLASS","",0,0,1,"*",0,"*"
136,"JOCEC","",0,0,1,"*",0,"*"
137,"TEKBOND","",0,0,1,"*",0,"*"
138,"VONDER OVD","",0,0,1,"*",0,"*"
139,"BELENUS","",0,0,1,"*",0,"*"
140,"CONCEITO","",0,0,1,"*",0,"*"
141,"ASSA ABLOY","",0,0,1,"*",0,"*"
142,"PILLER","",0,0,1,"*",0,"*"
143,"ALUMICONTE PALHETA","",0,0,1,"*",0,"*"
144,"T2M PRADO","",0,0,1,"*",0,"*"
145,"SIMAC","",0,0,1,"*",0,"*"
146,"RIO BENTO","",0,0,1,"*",0,"*"
147,"CIBRA","",0,0,1,"*",0,"*"
148,"GDS","",0,0,1,"*",0,"*"
149,"MULT PACK","",0,0,1,"*",0,"*"
150,"PROMOCIONAL","",0,0,1,"*",0,"* VENDEU GANHOU 5% DE COMISSÃO *"
155,"AMATOOLS","",0,0,1,"*",1,"AMATOOLS"
152,"SCHLEGEL","",0,0,1,"*",1,"SCHLEGEL"
153,"NOPLA METAIS ","",0,0,1,"*",1,"NOPLA METAIS"
154,"ACAV INOX","",0,0,1,"*",1,"ACAV INOX"
156,"TOP HOUSE","",0,0,1,"*",1,"TOP HOUSE"
157,"TOP HOUSE","",0,0,1,"*",1,"TOP HOUSE"
158,"CLARITY","",0,0,1,"*",1,"CLARITY"
159,"CLARITY","",0,0,1,"*",0,"CLARITY"
160,"INOXPAR","",0,0,1,"*",1,""
161,"EXPALUM","",0,0,1,"*",0,"EXPALUM"
162,"EXPALUM","",0,0,1,"*",1,"EXPALUM"
163,"TYTAN","",0,0,1,"*",1,"TYTAN"
